5,5
5.12,5.1
5.08,5.12
5.15,5.17
5.24,5.21
5.23,5.23
5.31,5.33
5.36,5.31
5.45,5.43
5.41,5.46
5.46,5.51
5.6,5.6
5.72,5.55
5.65,5.67
5.72,5.75
5.78,5.79
5.82,5.85
5.86,5.91
5.89,5.99
5.91,5.94
5.91,5.98
5.96,6.11
6.02,6.16
5.99,6.25
6,6.3
6.1,6.28
6.01,6.21
5.95,6.22
5.89,6.1
5.79,6.08
5.8,6.09
5.74,5.94
5.7,5.86
5.64,5.74
5.61,5.61
5.59,5.66
5.55,5.54
5.42,5.38
5.35,5.31
5.29,5.21
5.22,5.18
5.18,5.06
5.09,4.98
5.05,4.69
4.89,4.67
4.78,4.5
4.67,4.42
4.59,4.32
4.5,4.21
4.56,4.11
4.68,4.07
4.75,4.15
4.76,4.28
4.89,4.26
4.91,4.36
5.01,4.65
5.16,4.78
5.32,4.92
5.45,5.13
5.66,5.26
5.79,5.56
5.88,5.68
5.91,5.88
5.94,5.96
6.12,6.16
6.02,6.26
6.14,6.22
6.23,6.34
6.34,6.55
6.35,6.65
6.46,6.78
6.52,6.74
6.5,6.89
6.53,6.98
6.42,6.94
6.43,6.91
6.41,6.72
6.29,6.62
6.21,6.58
6.13,6.51
6.18,6.43
6.06,6.31
5.91,6.22
5.93,6.21
5.86,6.13
5.76,6.11
5.72,6.01
5.62,5.94
5.63,5.86
5.54,5.72
5.52,5.71
5.49,5.64
5.46,5.69
5.44,5.61
5.41,5.55
5.45,5.56
5.5,5.65
5.61,5.78
5.69,5.98
5.74,6.13
5.81,6.09
5.92,6.18
5.96,6.27
5.94,6.29
6.01,6.33
6.12,6.36
6.26,6.38
6.34,6.45
6.36,6.46
6.33,6.56
6.42,6.59
6.44,6.67
6.49,6.55
6.57,6.64
6.61,6.78
6.63,6.79
6.72,6.87
6.75,6.89
6.82,6.92
6.89,6.98
6.91,7
7.01,6.89
7.02,6.76
6.98,6.59
6.86,6.51
6.87,6.48
6.73,6.37
6.61,6.23
6.53,6.14
6.59,6.02
6.51,5.89
6.44,5.88
6.38,5.79
6.26,5.62
6.16,5.64
6.08,5.61
6.01,5.54
5.97,5.55
5.86,5.51
5.81,5.49
5.76,5.42
5.61,5.39
5.65,5.37
5.55,5.33
5.51,5.25
5.52,5.39
5.59,5.55
5.81,5.67
5.89,5.81
6.01,5.89
6.12,5.95
6.25,5.97
6.55,6.12
6.68,6.26
6.67,6.38
6.81,6.51
6.79,6.58
6.88,6.76
6.89,6.78
6.91,6.85
6.99,6.97
7.04,6.85
7,7.05
7.11,7.12
7.16,7.21
7.21,7.25
7.25,7.31
7.29,7.36
7.34,7.51
7.38,7.66
7.46,7.68
7.61,7.76
7.45,7.89
7.52,7.94
7.59,8.12
7.68,8.1
7.77,8.16
7.84,8.21
7.76,8.25
7.89,8.45
7.96,8.51
7.95,8.35
7.86,8.32
7.85,8.25
7.76,8.12
7.65,8.02
7.56,8.13
7.54,7.98
7.34,7.65
7.22,7.56
7.12,7.42
7.01,7.21
7.12,7.23
7.03,7.13
6.89,7.02
6.84,6.98
6.71,6.87
6.49,6.85
6.44,6.67
6.38,6.66
6.32,6.52
6.23,6.43
6.13,6.35
6.11,6.32
6.13,6.28
6.01,6.22
